,fecha,pais,iso3,source,temperatura_media,año
0,2003-01-01,Alemania,DEU,E-OBS,-0.26,2003
1,2003-02-01,Alemania,DEU,E-OBS,-1.84,2003
2,2003-03-01,Alemania,DEU,E-OBS,5.42,2003
3,2003-04-01,Alemania,DEU,E-OBS,8.55,2003
4,2003-05-01,Alemania,DEU,E-OBS,14.18,2003
5,2003-06-01,Alemania,DEU,E-OBS,19.4,2003
6,2003-07-01,Alemania,DEU,E-OBS,19.14,2003
7,2003-08-01,Alemania,DEU,E-OBS,20.62,2003
8,2003-09-01,Alemania,DEU,E-OBS,13.89,2003
9,2003-10-01,Alemania,DEU,E-OBS,5.94,2003
10,2003-11-01,Alemania,DEU,E-OBS,6.03,2003
11,2003-12-01,Alemania,DEU,E-OBS,1.79,2003
12,2004-01-01,Alemania,DEU,E-OBS,-0.05,2004
13,2004-02-01,Alemania,DEU,E-OBS,2.48,2004
14,2004-03-01,Alemania,DEU,E-OBS,4.16,2004
15,2004-04-01,Alemania,DEU,E-OBS,9.39,2004
16,2004-05-01,Alemania,DEU,E-OBS,11.61,2004
17,2004-06-01,Alemania,DEU,E-OBS,15.31,2004
18,2004-07-01,Alemania,DEU,E-OBS,16.83,2004
19,2004-08-01,Alemania,DEU,E-OBS,18.46,2004
20,2004-09-01,Alemania,DEU,E-OBS,14.05,2004
21,2004-10-01,Alemania,DEU,E-OBS,10.11,2004
22,2004-11-01,Alemania,DEU,E-OBS,4.22,2004
23,2004-12-01,Alemania,DEU,E-OBS,1.05,2004
24,2005-01-01,Alemania,DEU,E-OBS,2.04,2005
25,2005-02-01,Alemania,DEU,E-OBS,-0.99,2005
26,2005-03-01,Alemania,DEU,E-OBS,3.72,2005
27,2005-04-01,Alemania,DEU,E-OBS,9.32,2005
28,2005-05-01,Alemania,DEU,E-OBS,12.8,2005
29,2005-06-01,Alemania,DEU,E-OBS,16.43,2005
30,2005-07-01,Alemania,DEU,E-OBS,18.06,2005
31,2005-08-01,Alemania,DEU,E-OBS,15.81,2005
32,2005-09-01,Alemania,DEU,E-OBS,15.03,2005
33,2005-10-01,Alemania,DEU,E-OBS,11.05,2005
34,2005-11-01,Alemania,DEU,E-OBS,4.18,2005
35,2005-12-01,Alemania,DEU,E-OBS,0.87,2005
36,2006-01-01,Alemania,DEU,E-OBS,-2.54,2006
37,2006-02-01,Alemania,DEU,E-OBS,-0.3,2006
38,2006-03-01,Alemania,DEU,E-OBS,1.58,2006
39,2006-04-01,Alemania,DEU,E-OBS,8.11,2006
40,2006-05-01,Alemania,DEU,E-OBS,13.12,2006
41,2006-06-01,Alemania,DEU,E-OBS,16.86,2006
42,2006-07-01,Alemania,DEU,E-OBS,22.05,2006
43,2006-08-01,Alemania,DEU,E-OBS,15.56,2006
44,2006-09-01,Alemania,DEU,E-OBS,16.95,2006
45,2006-10-01,Alemania,DEU,E-OBS,12.19,2006
46,2006-11-01,Alemania,DEU,E-OBS,7.06,2006
47,2006-12-01,Alemania,DEU,E-OBS,4.44,2006
48,2007-01-01,Alemania,DEU,E-OBS,4.77,2007
49,2007-02-01,Alemania,DEU,E-OBS,4.03,2007
50,2007-03-01,Alemania,DEU,E-OBS,6.23,2007
51,2007-04-01,Alemania,DEU,E-OBS,11.58,2007
52,2007-05-01,Alemania,DEU,E-OBS,14.19,2007
53,2007-06-01,Alemania,DEU,E-OBS,17.43,2007
54,2007-07-01,Alemania,DEU,E-OBS,17.27,2007
55,2007-08-01,Alemania,DEU,E-OBS,16.87,2007
56,2007-09-01,Alemania,DEU,E-OBS,12.6,2007
57,2007-10-01,Alemania,DEU,E-OBS,8.36,2007
58,2007-11-01,Alemania,DEU,E-OBS,3.68,2007
59,2007-12-01,Alemania,DEU,E-OBS,1.6,2007
60,2008-01-01,Alemania,DEU,E-OBS,3.67,2008
61,2008-02-01,Alemania,DEU,E-OBS,3.76,2008
62,2008-03-01,Alemania,DEU,E-OBS,4.28,2008
63,2008-04-01,Alemania,DEU,E-OBS,7.67,2008
64,2008-05-01,Alemania,DEU,E-OBS,14.55,2008
65,2008-06-01,Alemania,DEU,E-OBS,16.98,2008
66,2008-07-01,Alemania,DEU,E-OBS,18.04,2008
67,2008-08-01,Alemania,DEU,E-OBS,17.4,2008
68,2008-09-01,Alemania,DEU,E-OBS,12.44,2008
69,2008-10-01,Alemania,DEU,E-OBS,9.09,2008
70,2008-11-01,Alemania,DEU,E-OBS,5.05,2008
71,2008-12-01,Alemania,DEU,E-OBS,1.04,2008
72,2009-01-01,Alemania,DEU,E-OBS,-2.18,2009
73,2009-02-01,Alemania,DEU,E-OBS,0.56,2009
74,2009-03-01,Alemania,DEU,E-OBS,4.35,2009
75,2009-04-01,Alemania,DEU,E-OBS,11.88,2009
76,2009-05-01,Alemania,DEU,E-OBS,13.66,2009
77,2009-06-01,Alemania,DEU,E-OBS,14.86,2009
78,2009-07-01,Alemania,DEU,E-OBS,18.04,2009
79,2009-08-01,Alemania,DEU,E-OBS,18.67,2009
80,2009-09-01,Alemania,DEU,E-OBS,14.7,2009
81,2009-10-01,Alemania,DEU,E-OBS,8.19,2009
82,2009-11-01,Alemania,DEU,E-OBS,7.4,2009
83,2009-12-01,Alemania,DEU,E-OBS,0.33,2009
84,2010-01-01,Alemania,DEU,E-OBS,-3.63,2010
85,2010-02-01,Alemania,DEU,E-OBS,-0.44,2010
86,2010-03-01,Alemania,DEU,E-OBS,4.25,2010
87,2010-04-01,Alemania,DEU,E-OBS,8.74,2010
88,2010-05-01,Alemania,DEU,E-OBS,10.47,2010
89,2010-06-01,Alemania,DEU,E-OBS,16.38,2010
90,2010-07-01,Alemania,DEU,E-OBS,20.36,2010
91,2010-08-01,Alemania,DEU,E-OBS,16.72,2010
92,2010-09-01,Alemania,DEU,E-OBS,12.4,2010
93,2010-10-01,Alemania,DEU,E-OBS,8.14,2010
94,2010-11-01,Alemania,DEU,E-OBS,4.76,2010
95,2010-12-01,Alemania,DEU,E-OBS,-3.64,2010
96,2011-01-01,Alemania,DEU,E-OBS,0.98,2011
97,2011-02-01,Alemania,DEU,E-OBS,1.0,2011
98,2011-03-01,Alemania,DEU,E-OBS,4.96,2011
99,2011-04-01,Alemania,DEU,E-OBS,11.65,2011
100,2011-05-01,Alemania,DEU,E-OBS,13.91,2011
101,2011-06-01,Alemania,DEU,E-OBS,16.58,2011
102,2011-07-01,Alemania,DEU,E-OBS,16.11,2011
103,2011-08-01,Alemania,DEU,E-OBS,17.76,2011
104,2011-09-01,Alemania,DEU,E-OBS,15.24,2011
105,2011-10-01,Alemania,DEU,E-OBS,9.41,2011
106,2011-11-01,Alemania,DEU,E-OBS,4.51,2011
107,2011-12-01,Alemania,DEU,E-OBS,3.92,2011
108,2012-01-01,Alemania,DEU,E-OBS,1.93,2012
109,2012-02-01,Alemania,DEU,E-OBS,-2.49,2012
110,2012-03-01,Alemania,DEU,E-OBS,6.99,2012
111,2012-04-01,Alemania,DEU,E-OBS,8.18,2012
112,2012-05-01,Alemania,DEU,E-OBS,14.27,2012
113,2012-06-01,Alemania,DEU,E-OBS,15.51,2012
114,2012-07-01,Alemania,DEU,E-OBS,17.41,2012
115,2012-08-01,Alemania,DEU,E-OBS,18.46,2012
116,2012-09-01,Alemania,DEU,E-OBS,13.64,2012
117,2012-10-01,Alemania,DEU,E-OBS,8.75,2012
118,2012-11-01,Alemania,DEU,E-OBS,5.2,2012
119,2012-12-01,Alemania,DEU,E-OBS,1.53,2012
120,2013-01-01,Alemania,DEU,E-OBS,0.2,2013
121,2013-02-01,Alemania,DEU,E-OBS,-0.71,2013
122,2013-03-01,Alemania,DEU,E-OBS,0.13,2013
123,2013-04-01,Alemania,DEU,E-OBS,8.16,2013
124,2013-05-01,Alemania,DEU,E-OBS,11.79,2013
125,2013-06-01,Alemania,DEU,E-OBS,15.7,2013
126,2013-07-01,Alemania,DEU,E-OBS,19.49,2013
127,2013-08-01,Alemania,DEU,E-OBS,17.95,2013
128,2013-09-01,Alemania,DEU,E-OBS,13.3,2013
129,2013-10-01,Alemania,DEU,E-OBS,10.67,2013
130,2013-11-01,Alemania,DEU,E-OBS,4.61,2013
131,2013-12-01,Alemania,DEU,E-OBS,3.57,2013
132,2014-01-01,Alemania,DEU,E-OBS,2.17,2014
133,2014-02-01,Alemania,DEU,E-OBS,4.37,2014
134,2014-03-01,Alemania,DEU,E-OBS,6.98,2014
135,2014-04-01,Alemania,DEU,E-OBS,10.84,2014
136,2014-05-01,Alemania,DEU,E-OBS,12.43,2014
137,2014-06-01,Alemania,DEU,E-OBS,16.12,2014
138,2014-07-01,Alemania,DEU,E-OBS,19.31,2014
139,2014-08-01,Alemania,DEU,E-OBS,15.97,2014
140,2014-09-01,Alemania,DEU,E-OBS,14.95,2014
141,2014-10-01,Alemania,DEU,E-OBS,11.91,2014
142,2014-11-01,Alemania,DEU,E-OBS,6.48,2014
143,2014-12-01,Alemania,DEU,E-OBS,2.73,2014
144,2015-01-01,Alemania,DEU,E-OBS,2.19,2015
145,2015-02-01,Alemania,DEU,E-OBS,0.73,2015
146,2015-03-01,Alemania,DEU,E-OBS,5.21,2015
147,2015-04-01,Alemania,DEU,E-OBS,8.46,2015
148,2015-05-01,Alemania,DEU,E-OBS,12.39,2015
149,2015-06-01,Alemania,DEU,E-OBS,15.88,2015
150,2015-07-01,Alemania,DEU,E-OBS,19.46,2015
151,2015-08-01,Alemania,DEU,E-OBS,19.9,2015
152,2015-09-01,Alemania,DEU,E-OBS,12.97,2015
153,2015-10-01,Alemania,DEU,E-OBS,8.4,2015
154,2015-11-01,Alemania,DEU,E-OBS,7.53,2015
155,2015-12-01,Alemania,DEU,E-OBS,6.53,2015
156,2016-01-01,Alemania,DEU,E-OBS,1.05,2016
157,2016-02-01,Alemania,DEU,E-OBS,3.35,2016
158,2016-03-01,Alemania,DEU,E-OBS,4.04,2016
159,2016-04-01,Alemania,DEU,E-OBS,7.94,2016
160,2016-05-01,Alemania,DEU,E-OBS,13.72,2016
161,2016-06-01,Alemania,DEU,E-OBS,17.03,2016
162,2016-07-01,Alemania,DEU,E-OBS,18.65,2016
163,2016-08-01,Alemania,DEU,E-OBS,17.76,2016
164,2016-09-01,Alemania,DEU,E-OBS,16.87,2016
165,2016-10-01,Alemania,DEU,E-OBS,8.49,2016
166,2016-11-01,Alemania,DEU,E-OBS,3.84,2016
167,2016-12-01,Alemania,DEU,E-OBS,2.16,2016
168,2017-01-01,Alemania,DEU,E-OBS,-2.14,2017
169,2017-02-01,Alemania,DEU,E-OBS,2.95,2017
170,2017-03-01,Alemania,DEU,E-OBS,7.25,2017
171,2017-04-01,Alemania,DEU,E-OBS,7.45,2017
172,2017-05-01,Alemania,DEU,E-OBS,14.17,2017
173,2017-06-01,Alemania,DEU,E-OBS,17.81,2017
174,2017-07-01,Alemania,DEU,E-OBS,18.1,2017
175,2017-08-01,Alemania,DEU,E-OBS,17.89,2017
176,2017-09-01,Alemania,DEU,E-OBS,12.8,2017
177,2017-10-01,Alemania,DEU,E-OBS,11.16,2017
178,2017-11-01,Alemania,DEU,E-OBS,5.1,2017
179,2017-12-01,Alemania,DEU,E-OBS,2.7,2017
180,2018-01-01,Alemania,DEU,E-OBS,3.75,2018
181,2018-02-01,Alemania,DEU,E-OBS,-1.84,2018
182,2018-03-01,Alemania,DEU,E-OBS,2.43,2018
183,2018-04-01,Alemania,DEU,E-OBS,12.37,2018
184,2018-05-01,Alemania,DEU,E-OBS,16.06,2018
185,2018-06-01,Alemania,DEU,E-OBS,17.77,2018
186,2018-07-01,Alemania,DEU,E-OBS,20.32,2018
187,2018-08-01,Alemania,DEU,E-OBS,19.92,2018
188,2018-09-01,Alemania,DEU,E-OBS,15.11,2018
189,2018-10-01,Alemania,DEU,E-OBS,10.73,2018
190,2018-11-01,Alemania,DEU,E-OBS,5.21,2018
191,2018-12-01,Alemania,DEU,E-OBS,3.91,2018
192,2019-01-01,Alemania,DEU,E-OBS,0.63,2019
193,2019-02-01,Alemania,DEU,E-OBS,3.99,2019
194,2019-03-01,Alemania,DEU,E-OBS,6.61,2019
195,2019-04-01,Alemania,DEU,E-OBS,9.65,2019
196,2019-05-01,Alemania,DEU,E-OBS,11.0,2019
197,2019-06-01,Alemania,DEU,E-OBS,19.8,2019
198,2019-07-01,Alemania,DEU,E-OBS,18.94,2019
199,2019-08-01,Alemania,DEU,E-OBS,19.08,2019
200,2019-09-01,Alemania,DEU,E-OBS,14.06,2019
201,2019-10-01,Alemania,DEU,E-OBS,10.83,2019
202,2019-11-01,Alemania,DEU,E-OBS,5.2,2019
203,2019-12-01,Alemania,DEU,E-OBS,3.75,2019
204,2020-01-01,Alemania,DEU,E-OBS,3.47,2020
205,2020-02-01,Alemania,DEU,E-OBS,5.32,2020
206,2020-03-01,Alemania,DEU,E-OBS,5.29,2020
207,2020-04-01,Alemania,DEU,E-OBS,10.4,2020
208,2020-05-01,Alemania,DEU,E-OBS,11.95,2020
209,2020-06-01,Alemania,DEU,E-OBS,16.92,2020
210,2020-07-01,Alemania,DEU,E-OBS,17.72,2020
211,2020-08-01,Alemania,DEU,E-OBS,19.98,2020
212,2020-09-01,Alemania,DEU,E-OBS,14.83,2020
213,2020-10-01,Alemania,DEU,E-OBS,10.21,2020
214,2020-11-01,Alemania,DEU,E-OBS,6.2,2020
215,2020-12-01,Alemania,DEU,E-OBS,3.09,2020
216,2021-01-01,Alemania,DEU,E-OBS,0.64,2021
217,2021-02-01,Alemania,DEU,E-OBS,1.77,2021
218,2021-03-01,Alemania,DEU,E-OBS,4.81,2021
219,2021-04-01,Alemania,DEU,E-OBS,6.06,2021
220,2021-05-01,Alemania,DEU,E-OBS,10.74,2021
221,2021-06-01,Alemania,DEU,E-OBS,18.99,2021
222,2021-07-01,Alemania,DEU,E-OBS,18.35,2021
223,2021-08-01,Alemania,DEU,E-OBS,16.4,2021
224,2021-09-01,Alemania,DEU,E-OBS,15.15,2021
225,2021-10-01,Alemania,DEU,E-OBS,9.62,2021
226,2021-11-01,Alemania,DEU,E-OBS,4.88,2021
227,2021-12-01,Alemania,DEU,E-OBS,2.6,2021
228,2022-01-01,Alemania,DEU,E-OBS,2.79,2022
229,2022-02-01,Alemania,DEU,E-OBS,4.49,2022
230,2022-03-01,Alemania,DEU,E-OBS,5.12,2022
231,2022-04-01,Alemania,DEU,E-OBS,7.78,2022
232,2022-05-01,Alemania,DEU,E-OBS,14.47,2022
233,2022-06-01,Alemania,DEU,E-OBS,18.36,2022
234,2022-07-01,Alemania,DEU,E-OBS,19.15,2022
235,2022-08-01,Alemania,DEU,E-OBS,20.24,2022
236,2022-09-01,Alemania,DEU,E-OBS,13.37,2022
237,2022-10-01,Alemania,DEU,E-OBS,12.53,2022
238,2022-11-01,Alemania,DEU,E-OBS,6.36,2022
239,2022-12-01,Alemania,DEU,E-OBS,1.81,2022
240,2023-01-01,Alemania,DEU,E-OBS,3.61,2023
241,2023-02-01,Alemania,DEU,E-OBS,3.23,2023
242,2023-03-01,Alemania,DEU,E-OBS,5.75,2023
243,2023-04-01,Alemania,DEU,E-OBS,7.55,2023
244,2023-05-01,Alemania,DEU,E-OBS,13.12,2023
245,2023-06-01,Alemania,DEU,E-OBS,18.61,2023
246,2023-07-01,Alemania,DEU,E-OBS,18.73,2023
247,2023-08-01,Alemania,DEU,E-OBS,18.27,2023
248,2023-09-01,Alemania,DEU,E-OBS,17.29,2023
249,2023-10-01,Alemania,DEU,E-OBS,11.88,2023
250,2023-11-01,Alemania,DEU,E-OBS,5.64,2023
251,2023-12-01,Alemania,DEU,E-OBS,4.07,2023
252,2003-01-01,España,ESP,E-OBS,5.34,2003
253,2003-02-01,España,ESP,E-OBS,5.63,2003
254,2003-03-01,España,ESP,E-OBS,10.64,2003
255,2003-04-01,España,ESP,E-OBS,11.77,2003
256,2003-05-01,España,ESP,E-OBS,16.13,2003
257,2003-06-01,España,ESP,E-OBS,22.54,2003
